Date,Open,High,Low,Close,Adj_Close,Volume,SMA_Open,SMA_High,SMA_Low,SMA_Close,SMA_Adj_Close,SMA_Volume
2020-07-06,1805.0,1858.0,1792.099976,1851.800049,1845.862061,2.1697962E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-07,1860.0,1864.349976,1806.300049,1823.449951,1817.602905,1.623999E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-08,1824.050049,1834.949951,1790.0,1798.0,1792.234497,1.2093186E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-09,1809.0,1835.0,1786.25,1824.25,1818.400391,1.6807336E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-10,1828.5,1884.599976,1824.25,1878.050049,1872.027832,2.0195218E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,1903.349976,1947.699951,1900.0,1935.0,1928.795166,3.2124262E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-14,1934.0,1941.699951,1887.300049,1917.0,1910.852905,3.1073305E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-15,1937.949951,1978.800049,1798.0,1844.0,1838.087036,6.4457578E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,1847.0,1869.0,1812.449951,1843.400024,1837.489014,2.8133826E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,1845.0,1920.0,1838.0,1911.699951,1905.569824,2.2948894E7,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,1917.800049,1932.0,1899.650024,1919.900024,1913.743652,1.6887635E7,1859.3849975999997,1893.4099854,1823.4650025000003,1862.6650024000003,1856.6921630999998,2.65771557E7
2020-07-21,1939.0,1977.0,1936.5,1971.550049,1965.228027,1.9463004E7,1870.6650025,1900.8099854,1834.2200073000004,1869.4749998999996,1863.4803221999998,2.6096123E7
2020-07-22,1983.0,2010.0,1960.699951,2004.0,1997.573975,2.7584518E7,1878.5650025,1912.0749878,1847.2400024000003,1884.2850097000003,1878.2428344,2.64184244E7
2020-07-23,2003.949951,2079.699951,1991.349976,2057.800049,2051.201416,2.6921017E7,1894.4599975999997,1929.5799927,1864.3099974999998,1904.8850097000002,1898.7767821999998,2.79675576E7
2020-07-24,2058.0,2163.0,2057.800049,2146.149902,2139.268066,5.5655668E7,1913.9549927,1954.0499878000003,1884.8199951000001,1928.2400146000004,1922.0568847,2.89789257E7
2020-07-27,2178.800049,2198.800049,2127.899902,2156.199951,2149.285889,3.7060665E7,1936.9049927000003,1981.8899901999998,1908.175,1955.0499998999999,1948.7809081000003,3.25249707E7
2020-07-28,2156.199951,2194.0,2150.649902,2177.699951,2170.716797,2.5435297E7,1964.45,2007.0,1930.9649902,1977.1699950000002,1970.8299804000003,3.3018611E7
2020-07-29,2177.899902,2182.800049,2070.449951,2096.649902,2089.926758,3.3534147E7,1986.6699950999998,2032.2300049,1957.2999755,2003.2399901,1996.8163696000004,3.24548102E7
2020-07-30,2099.0,2139.699951,2072.0,2108.850098,2102.087891,3.3623699E7,2010.6649902000001,2052.6300048999997,1984.5449706,2028.5049802999995,2022.0003418000001,2.93624671E7
2020-07-31,2114.5,2129.0,2052.800049,2067.100098,2060.47168,3.4593133E7,2035.8649902000002,2079.7,2010.4999755000001,2055.0499876999997,2048.4602295,2.99114544E7
2020-08-03,2051.300049,2057.0,2003.099976,2009.0,2002.557861,2.1559142E7,2062.8149902,2100.6,2031.9799804,2070.5900024000002,2063.9504151000006,3.10758783E7
2020-08-04,2020.599976,2167.0,2000.25,2150.600098,2143.703857,4.2476932E7,2076.1649902,2113.1,2042.3249755999998,2079.5000000000005,2072.8318360000003,3.1543029E7
2020-08-05,2169.0,2196.0,2118.300049,2126.449951,2119.631348,3.440481E7,2084.3249877999997,2132.0999999999995,2048.6999756,2097.4050049000007,2090.6794189999996,3.38444218E7
2020-08-06,2157.0,2167.699951,2107.800049,2134.100098,2127.256836,2.2762545E7,2102.9249878,2150.7,2064.4599854000003,2109.6500000000005,2102.8851563,3.4526451E7
2020-08-07,2129.800049,2157.800049,2120.199951,2146.449951,2139.567139,1.5222303E7,2118.2299927,2159.5000000000005,2076.1049927000004,2117.2800048999998,2110.4906982999996,3.41106038E7
2020-08-10,2159.100098,2165.0,2108.100098,2119.850098,2113.05249,1.2441573E7,2125.4099975999998,2158.9800049,2082.3449829,2117.3100097999995,2110.5206056,3.00672673E7
2020-08-11,2134.800049,2160.0,2100.350098,2133.800049,2126.957764,2.1611256E7,2123.4400025,2155.6,2080.3650024999997,2113.6750244999994,2106.8972657000004,2.76053581E7
2020-08-12,2121.0,2145.0,2106.800049,2127.600098,2120.777832,1.3967116E7,2121.3000123,2152.2,2075.3350220999996,2109.2850343,2102.5213624000003,2.7222954E7
2020-08-13,2128.0,2138.899902,2110.0,2122.050049,2115.245361,1.145919E7,2115.6100221,2148.4199951,2078.9700319,2112.3800539,2105.6064698,2.52662509E7
2020-08-14,2122.550049,2157.0,2089.25,2113.800049,2107.021973,1.5333164E7,2118.5100221000002,2148.3399902,2082.7700319000005,2113.700049,2106.9222168,2.30498E7
2020-08-17,2105.0,2105.0,2070.100098,2091.350098,2084.644043,1.4296834E7,2119.3150269999996,2151.1399902000003,2086.415027,2118.3700440999996,2111.5772461000006,2.11238031E7
